INSERT INTO `test`.`shippingprice` (`id`, `country`, `price`, `weight`) VALUES ('1', 'Deutschland', '3.99', '1');
INSERT INTO `test`.`shippingprice` (`id`, `country`, `price`, `weight`) VALUES ('2', 'Deutschland', '3.99', '2');
INSERT INTO `test`.`shippingprice` (`id`, `country`, `price`, `weight`) VALUES ('3', 'Deutschland', '3.99', '5');
INSERT INTO `test`.`shippingprice` (`id`, `country`, `price`, `weight`) VALUES ('4', 'Deutschland', '3.99', '10');
INSERT INTO `test`.`shippingprice` (`id`, `country`, `price`, `weight`) VALUES ('5', 'Deutschland', '3.99', '20');
INSERT INTO `test`.`shippingprice` (`id`, `country`, `price`, `weight`) VALUES ('6', 'Deutschland', '3.99', '50');
INSERT INTO `test`.`shippingprice` (`id`, `country`, `price`, `weight`) VALUES ('7', 'Deutschland', '3.99', '100');
INSERT INTO `test`.`shippingprice` (`id`, `country`, `price`, `weight`) VALUES ('8', 'Deutschland', '3.99', '200');
INSERT INTO `test`.`shippingprice` (`id`, `country`, `price`, `weight`) VALUES ('9', 'Deutschland', '3.99', '500');

INSERT INTO `test`.`shippingprice` (`id`, `country`, `price`, `weight`) VALUES ('10', 'USA', '3.99', '1');
INSERT INTO `test`.`shippingprice` (`id`, `country`, `price`, `weight`) VALUES ('12', 'USA', '13.99', '2');
INSERT INTO `test`.`shippingprice` (`id`, `country`, `price`, `weight`) VALUES ('13', 'USA', '23.99', '5');
INSERT INTO `test`.`shippingprice` (`id`, `country`, `price`, `weight`) VALUES ('14', 'USA', '33.99', '10');
INSERT INTO `test`.`shippingprice` (`id`, `country`, `price`, `weight`) VALUES ('15', 'USA', '43.99', '20');
INSERT INTO `test`.`shippingprice` (`id`, `country`, `price`, `weight`) VALUES ('16', 'USA', '113.99', '50');
INSERT INTO `test`.`shippingprice` (`id`, `country`, `price`, `weight`) VALUES ('17', 'USA', '213.99', '100');
INSERT INTO `test`.`shippingprice` (`id`, `country`, `price`, `weight`) VALUES ('18', 'USA', '333.99', '200');
INSERT INTO `test`.`shippingprice` (`id`, `country`, `price`, `weight`) VALUES ('19', 'USA', '443.99', '500');

INSERT INTO `test`.`shippingprice` (`id`, `country`, `price`, `weight`) VALUES ('21', 'Norway', '13.99', '1');
INSERT INTO `test`.`shippingprice` (`id`, `country`, `price`, `weight`) VALUES ('22', 'Norway', '23.99', '2');
INSERT INTO `test`.`shippingprice` (`id`, `country`, `price`, `weight`) VALUES ('23', 'Norway', '33.99', '5');
INSERT INTO `test`.`shippingprice` (`id`, `country`, `price`, `weight`) VALUES ('24', 'Norway', '43.99', '10');
INSERT INTO `test`.`shippingprice` (`id`, `country`, `price`, `weight`) VALUES ('25', 'Norway', '53.99', '20');
INSERT INTO `test`.`shippingprice` (`id`, `country`, `price`, `weight`) VALUES ('26', 'Norway', '73.99', '50');
INSERT INTO `test`.`shippingprice` (`id`, `country`, `price`, `weight`) VALUES ('27', 'Norway', '123.99', '100');
INSERT INTO `test`.`shippingprice` (`id`, `country`, `price`, `weight`) VALUES ('28', 'Norway', '223.99', '200');
INSERT INTO `test`.`shippingprice` (`id`, `country`, `price`, `weight`) VALUES ('29', 'Norway', '443.99', '500');

INSERT INTO `test`.`shippingprice` (`id`, `country`, `price`, `weight`) VALUES ('31', 'Neitherland', '3.99', '1');
INSERT INTO `test`.`shippingprice` (`id`, `country`, `price`, `weight`) VALUES ('32', 'Neitherland', '13.99', '2');
INSERT INTO `test`.`shippingprice` (`id`, `country`, `price`, `weight`) VALUES ('33', 'Neitherland', '23.99', '5');
INSERT INTO `test`.`shippingprice` (`id`, `country`, `price`, `weight`) VALUES ('34', 'Neitherland', '33.99', '10');
INSERT INTO `test`.`shippingprice` (`id`, `country`, `price`, `weight`) VALUES ('35', 'Neitherland', '43.99', '20');
INSERT INTO `test`.`shippingprice` (`id`, `country`, `price`, `weight`) VALUES ('36', 'Neitherland', '53.99', '50');
INSERT INTO `test`.`shippingprice` (`id`, `country`, `price`, `weight`) VALUES ('37', 'Neitherland', '73.99', '100');
INSERT INTO `test`.`shippingprice` (`id`, `country`, `price`, `weight`) VALUES ('38', 'Neitherland', '93.99', '200');
INSERT INTO `test`.`shippingprice` (`id`, `country`, `price`, `weight`) VALUES ('39', 'Neitherland', '123.99', '500');

INSERT INTO `test`.`shippingprice` (`id`, `country`, `price`, `weight`) VALUES ('41', 'China', '3.99', '1');
INSERT INTO `test`.`shippingprice` (`id`, `country`, `price`, `weight`) VALUES ('42', 'China', '13.99', '2');
INSERT INTO `test`.`shippingprice` (`id`, `country`, `price`, `weight`) VALUES ('43', 'China', '23.99', '5');
INSERT INTO `test`.`shippingprice` (`id`, `country`, `price`, `weight`) VALUES ('44', 'China', '33.99', '10');
INSERT INTO `test`.`shippingprice` (`id`, `country`, `price`, `weight`) VALUES ('45', 'China', '43.99', '20');
INSERT INTO `test`.`shippingprice` (`id`, `country`, `price`, `weight`) VALUES ('46', 'China', '53.99', '50');
INSERT INTO `test`.`shippingprice` (`id`, `country`, `price`, `weight`) VALUES ('47', 'China', '63.99', '100');
INSERT INTO `test`.`shippingprice` (`id`, `country`, `price`, `weight`) VALUES ('48', 'China', '273.99', '200');
INSERT INTO `test`.`shippingprice` (`id`, `country`, `price`, `weight`) VALUES ('49', 'China', '783.99', '500');
